~~~~~~~~~~ FINAL PARAM VALUES ~~~~~~~~~~
config-filename: config-files/evolve-entrance-positions-4-rows-with-energetics.cfg
env-width: 650
env-height: 800
tunnel-width: 450
tunnel-height: 600
tunnel-x: 100
tunnel-y: 100
flower-initial-nectar: 100
num-bees: 100
bee-max-dir-delta: 0.5
bee-step-length: 15
bee-path-record-len: 0
bee-visual-range: 11
bee-visit-memory-length: 5
bee-prob-visit-nearest-flower: 0.8
bee-forage-duration: 1000
bee-in-hive-duration: 200
bee-initial-energy: 500
bee-energy-depletion-per-step: 1
bee-energy-boost-per-flower: 10
bee-num-steps-on-flower: 3
bee-energy-min-threshold: 0
bee-energy-max-threshold: 750
num-iterations: 1000
evolve: true
num-trials-per-config: 150
num-configs-per-gen: 100
num-generations: 50
target-heatmap-filename: target-heatmaps/target-heatmap-13x16-4-rows.csv
heatmap-cell-size: 50
visualise: false
vis-cell-size: 1
vis-delay-per-step: 0
vis-bee-path-draw-len: 250
logging: true
log-dir: output
log-filename-prefix: evolve-entrance-positions-4-rows-with-energetics
rng-seed: TcnqAFDkrAJBiRPmPmhC
command-line-quiet: false
Hives:
hive1: (325,750):0
Tunnel Entrances:
(none)
Plant Patches:
patch1: (150,150,50,500):10:0.1:1:4:(100,0)
~~~~~~~~~~
INFO: Initial EMD between uniform target and anti-target heatmaps: 13.499981
INFO: Config output written to file: output/evolve-entrance-positions-4-rows-with-energetics-config-20251211-154318-01e01f.cfg
~~~~~~~~~~
INFO: Gen 0 eval_ctr 5250 config_num 34: entrances e1:499.66895,599.66895:1 e2:172.92828,272.92828:1 e3:296.4478,396.4478:3 e4:302.23117,402.23117:3, meanEMD 3.6901
INFO: Gen 0 eval_ctr 5400 config_num 35: entrances e1:256.12393,356.12393:2 e2:181.62254,281.62256:0 e3:303.92752,403.92752:3 e4:28.258509,128.25851:0, meanEMD 3.4970
INFO: Gen 0 eval_ctr 5550 config_num 36: entrances e1:312.16006,412.16006:3 e2:323.107,423.107:1 e3:314.7187,414.7187:3 e4:298.64896,398.64896:2, meanEMD 3.9349
INFO: Gen 0 eval_ctr 5700 config_num 37: entrances e1:210.2497,310.2497:0 e2:170.57664,270.57666:3 e3:39.025425,139.02542:1 e4:13.878297,113.878296:0, meanEMD 3.2948
INFO: Gen 0 eval_ctr 5850 config_num 38: entrances e1:218.89151,318.8915:3 e2:18.89678,118.89678:0 e3:167.12402,267.12402:3 e4:485.63446,585.63446:1, meanEMD 3.5175
INFO: Gen 0 eval_ctr 6000 config_num 39: entrances e1:195.55794,295.55792:2 e2:7.9118395,107.91184:0 e3:278.7081,378.7081:3 e4:274.23868,374.23868:2, meanEMD 4.1534
INFO: Gen 0 eval_ctr 6150 config_num 40: entrances e1:257.96985,357.96985:2 e2:178.7971,278.79712:2 e3:280.31393,380.31393:1 e4:287.67993,387.67993:1, meanEMD 4.3154
INFO: Gen 0 eval_ctr 6300 config_num 41: entrances e1:286.2637,386.2637:0 e2:50.3839,150.3839:2 e3:34.652054,134.65205:2 e4:439.1906,539.1906:1, meanEMD 4.0124
INFO: Gen 0 eval_ctr 6450 config_num 42: entrances e1:309.9126,409.9126:0 e2:152.2899,252.2899:0 e3:219.64748,319.64746:3 e4:148.39577,248.39577:2, meanEMD 4.0347
INFO: Gen 0 eval_ctr 6600 config_num 43: entrances e1:210.97647,310.97647:2 e2:186.93164,286.93164:0 e3:136.60863,236.60863:0 e4:76.58214,176.58214:3, meanEMD 3.8720
INFO: Gen 0 eval_ctr 6750 config_num 44: entrances e1:135.13853,235.13853:2 e2:150.40436,250.40436:3 e3:160.32495,260.32495:0 e4:42.119625,142.11963:1, meanEMD 3.7486
INFO: Gen 0 eval_ctr 6900 config_num 45: entrances e1:155.62148,255.62148:3 e2:298.74292,398.74292:1 e3:281.84192,381.84192:3 e4:1.8115336,101.81153:2, meanEMD 3.5360
INFO: Gen 0 eval_ctr 7050 config_num 46: entrances e1:270.63596,370.63596:3 e2:103.51945,203.51944:2 e3:44.22128,144.22128:0 e4:447.0982,547.0982:3, meanEMD 3.8486
INFO: Gen 0 eval_ctr 7200 config_num 47: entrances e1:223.37427,323.37427:3 e2:129.12456,229.12456:1 e3:3.3708756,103.37087:2 e4:134.09904,234.09904:3, meanEMD 3.1953
INFO: Gen 0 eval_ctr 7350 config_num 48: entrances e1:491.8122,591.8122:3 e2:219.08253,319.08252:2 e3:130.2571,230.2571:0 e4:322.02393,422.02393:0, meanEMD 3.8535
INFO: Gen 0 eval_ctr 7500 config_num 49: entrances e1:237.9887,337.9887:1 e2:321.21896,421.21896:1 e3:255.3821,355.38208:3 e4:471.13196,571.13196:3, meanEMD 3.6484
INFO: Gen 0 eval_ctr 7650 config_num 50: entrances e1:271.4136,371.4136:0 e2:108.37655,208.37656:2 e3:153.2077,253.2077:1 e4:134.34114,234.34114:2, meanEMD 3.8953
INFO: Gen 0 eval_ctr 7800 config_num 51: entrances e1:159.31607,259.31607:0 e2:325.36688,425.36688:3 e3:271.51566,371.51566:0 e4:227.18034,327.18036:1, meanEMD 3.1975
INFO: Gen 0 eval_ctr 7950 config_num 52: entrances e1:440.48434,540.4844:3 e2:115.19538,215.19537:2 e3:124.08394,224.08394:1 e4:112.864845,212.86484:1, meanEMD 3.7379
INFO: Gen 0 eval_ctr 8100 config_num 53: entrances e1:115.38866,215.38866:0 e2:177.75536,277.75537:2 e3:68.15896,168.15897:2 e4:136.18633,236.18633:0, meanEMD 4.2336
INFO: Gen 0 eval_ctr 8250 config_num 54: entrances e1:85.74358,185.74359:2 e2:247.76944,347.76944:0 e3:220.8342,320.8342:0 e4:10.352322,110.352325:3, meanEMD 3.6069
INFO: Gen 0 eval_ctr 8400 config_num 55: entrances e1:205.94243,305.94244:3 e2:395.35828,495.35828:1 e3:333.38058,433.38058:1 e4:237.20216,337.20215:2, meanEMD 3.7381
INFO: Gen 0 eval_ctr 8550 config_num 56: entrances e1:164.16188,264.16187:0 e2:292.50668,392.50668:1 e3:144.26054,244.26054:0 e4:185.77313,285.77313:3, meanEMD 3.2669
INFO: Gen 0 eval_ctr 8700 config_num 57: entrances e1:54.028297,154.02829:0 e2:242.68909,342.6891:2 e3:33.94368,133.94368:3 e4:336.61856,436.61856:3, meanEMD 3.6486
INFO: Gen 0 eval_ctr 8850 config_num 58: entrances e1:89.034454,189.03445:2 e2:40.717445,140.71744:2 e3:239.42833,339.42834:2 e4:332.3036,432.3036:1, meanEMD 4.1503
INFO: Gen 0 eval_ctr 9000 config_num 59: entrances e1:300.6107,400.6107:3 e2:329.86743,429.86743:3 e3:292.2159,392.2159:2 e4:300.36603,400.36603:1, meanEMD 3.8671
INFO: Gen 0 eval_ctr 9150 config_num 60: entrances e1:104.56578,204.56578:1 e2:23.63621,123.63621:3 e3:70.86252,170.86252:3 e4:219.15538,319.1554:2, meanEMD 3.6434
INFO: Gen 0 eval_ctr 9300 config_num 61: entrances e1:476.4326,576.4326:1 e2:382.00668,482.00668:3 e3:182.08736,282.08734:3 e4:58.862328,158.86234:1, meanEMD 3.4434
INFO: Gen 0 eval_ctr 9450 config_num 62: entrances e1:362.9676,462.9676:3 e2:209.06541,309.06543:0 e3:320.13083,420.13083:0 e4:47.559975,147.55997:2, meanEMD 3.6045
INFO: Gen 0 eval_ctr 9600 config_num 63: entrances e1:488.70752,588.7075:3 e2:172.77379,272.7738:3 e3:290.0428,390.0428:2 e4:84.422005,184.422:1, meanEMD 3.4869
INFO: Gen 0 eval_ctr 9750 config_num 64: entrances e1:292.23044,392.23044:0 e2:81.13802,181.13803:3 e3:128.23003,228.23003:3 e4:206.56303,306.56305:1, meanEMD 3.1988
INFO: Gen 0 eval_ctr 9900 config_num 65: entrances e1:311.2399,411.2399:2 e2:272.27948,372.27948:2 e3:272.9419,372.9419:2 e4:286.27258,386.27258:0, meanEMD 4.1647
INFO: Gen 0 eval_ctr 10050 config_num 66: entrances e1:40.428288,140.42828:0 e2:121.1935,221.1935:1 e3:10.267874,110.267876:2 e4:208.7907,308.7907:1, meanEMD 3.2980
INFO: Gen 0 eval_ctr 10200 config_num 67: entrances e1:257.63358,357.63358:0 e2:3.0713468,103.07135:3 e3:150.22285,250.22285:1 e4:12.011301,112.0113:0, meanEMD 3.4135
INFO: Gen 0 eval_ctr 10350 config_num 68: entrances e1:271.97012,371.97012:1 e2:235.90877,335.90875:2 e3:129.0909,229.0909:2 e4:348.55176,448.55176:1, meanEMD 4.2116
INFO: Gen 0 eval_ctr 10500 config_num 69: entrances e1:170.20996,270.20996:1 e2:254.76027,354.76025:0 e3:85.96204,185.96204:0 e4:338.52905,438.52905:3, meanEMD 3.1867
INFO: Gen 0 eval_ctr 10650 config_num 70: entrances e1:254.59799,354.598:3 e2:497.92276,597.9227:1 e3:388.9808,488.9808:1 e4:329.14236,429.14236:3, meanEMD 3.8813
INFO: Gen 0 eval_ctr 10800 config_num 71: entrances e1:26.458664,126.458664:3 e2:0.62202185,100.622025:0 e3:271.03336,371.03336:3 e4:207.99883,307.99884:1, meanEMD 3.2237
INFO: Gen 0 eval_ctr 10950 config_num 72: entrances e1:98.51596,198.51596:3 e2:399.7018,499.7018:3 e3:60.382874,160.38287:0 e4:92.825554,192.82556:0, meanEMD 3.6658
INFO: Gen 0 eval_ctr 11100 config_num 73: entrances e1:181.46101,281.461:3 e2:255.29436,355.29437:0 e3:175.50381,275.5038:2 e4:228.98193,328.98193:2, meanEMD 4.1761
INFO: Gen 0 eval_ctr 11250 config_num 74: entrances e1:106.06513,206.06512:1 e2:171.6646,271.6646:0 e3:312.2233,412.2233:3 e4:409.6332,509.6332:1, meanEMD 3.3324
INFO: Gen 0 eval_ctr 11400 config_num 75: entrances e1:139.53864,239.53864:3 e2:332.87158,432.87158:2 e3:117.83012,217.83011:0 e4:431.72818,531.72815:1, meanEMD 3.5271
INFO: Gen 0 eval_ctr 11550 config_num 76: entrances e1:42.84794,142.84793:0 e2:49.124702,149.1247:0 e3:103.40667,203.40668:0 e4:490.2634,590.2634:3, meanEMD 3.9412
INFO: Gen 0 eval_ctr 11700 config_num 77: entrances e1:48.239685,148.23969:1 e2:10.805418,110.80542:3 e3:258.60455,358.60455:1 e4:243.6818,343.6818:2, meanEMD 3.3199
INFO: Gen 0 eval_ctr 11850 config_num 78: entrances e1:268.51773,368.51773:3 e2:135.51537,235.51537:1 e3:58.92462,158.92462:1 e4:86.602715,186.60272:0, meanEMD 3.1207
INFO: Gen 0 eval_ctr 12000 config_num 79: entrances e1:37.19325,137.19325:2 e2:131.78615,231.78615:0 e3:75.01191,175.0119:0 e4:97.35661,197.35661:3, meanEMD 3.6314
INFO: Gen 0 eval_ctr 12150 config_num 80: entrances e1:225.58928,325.5893:2 e2:437.16415,537.1642:1 e3:132.34984,232.34984:1 e4:18.767382,118.76738:2, meanEMD 3.9719
INFO: Gen 0 eval_ctr 12300 config_num 81: entrances e1:386.4381,486.4381:1 e2:245.68309,345.6831:2 e3:250.23297,350.23297:1 e4:357.7954,457.7954:3, meanEMD 3.8830
INFO: Gen 0 eval_ctr 12450 config_num 82: entrances e1:130.48055,230.48055:3 e2:280.35358,380.35358:0 e3:335.5519,435.5519:3 e4:18.31877,118.31877:1, meanEMD 3.2061
INFO: Gen 0 eval_ctr 12600 config_num 83: entrances e1:207.7174,307.7174:2 e2:68.34694,168.34694:1 e3:255.0086,355.0086:2 e4:188.92851,288.92853:0, meanEMD 3.9919
INFO: Gen 0 eval_ctr 12750 config_num 84: entrances e1:273.3011,373.3011:3 e2:146.32373,246.32373:2 e3:77.50381,177.50381:1 e4:221.58575,321.58575:1, meanEMD 4.0517
INFO: Gen 0 eval_ctr 12900 config_num 85: entrances e1:231.84947,331.8495:2 e2:243.13814,343.13812:2 e3:123.10165,223.10165:0 e4:333.6265,433.6265:0, meanEMD 3.7227
INFO: Gen 0 eval_ctr 13050 config_num 86: entrances e1:265.2425,365.2425:0 e2:15.768357,115.76836:2 e3:370.2561,470.2561:1 e4:11.907784,111.90778:0, meanEMD 3.5872
INFO: Gen 0 eval_ctr 13200 config_num 87: entrances e1:375.37994,475.37994:1 e2:223.771,323.771:2 e3:131.67972,231.67972:1 e4:213.61354,313.61353:0, meanEMD 3.7469
INFO: Gen 0 eval_ctr 13350 config_num 88: entrances e1:38.55148,138.55148:2 e2:57.41767,157.41766:1 e3:191.51295,291.51294:0 e4:279.18805,379.18805:3, meanEMD 3.3465
INFO: Gen 0 eval_ctr 13500 config_num 89: entrances e1:325.55453,425.55453:3 e2:434.54062,534.54065:3 e3:428.5755,528.5755:3 e4:67.20704,167.20703:2, meanEMD 4.3467
INFO: Gen 0 eval_ctr 13650 config_num 90: entrances e1:231.1239,331.1239:3 e2:142.49535,242.49535:2 e3:230.74614,330.74615:2 e4:159.4264,259.4264:0, meanEMD 4.1980
INFO: Gen 0 eval_ctr 13800 config_num 91: entrances e1:21.94854,121.94854:0 e2:197.95686,297.95685:2 e3:108.15081,208.15082:2 e4:481.98642,581.98645:3, meanEMD 4.2312
INFO: Gen 0 eval_ctr 13950 config_num 92: entrances e1:199.80621,299.8062:3 e2:129.71307,229.71307:0 e3:110.597374,210.59738:1 e4:287.41568,387.41568:1, meanEMD 2.9880
INFO: Gen 0 eval_ctr 14100 config_num 93: entrances e1:121.81888,221.81888:0 e2:418.20844,518.20844:1 e3:131.17677,231.17677:2 e4:149.71774,249.71774:1, meanEMD 3.8851
INFO: Gen 0 eval_ctr 14250 config_num 94: entrances e1:109.13298,209.13298:1 e2:340.72202,440.72202:2 e3:166.75243,266.75244:2 e4:252.44576,352.44574:3, meanEMD 4.1631
INFO: Gen 0 eval_ctr 14400 config_num 95: entrances e1:90.570755,190.57076:2 e2:338.69827,438.69827:2 e3:419.46545,519.46545:1 e4:340.9664,440.9664:1, meanEMD 4.2509
INFO: Gen 0 eval_ctr 14550 config_num 96: entrances e1:95.05069,195.05069:0 e2:73.02243,173.02243:0 e3:424.15283,524.15283:3 e4:198.89601,298.896:3, meanEMD 3.6533
INFO: Gen 0 eval_ctr 14700 config_num 97: entrances e1:20.222916,120.222916:3 e2:205.62546,305.62546:2 e3:176.24763,276.24762:0 e4:412.36102,512.361:3, meanEMD 4.0442
INFO: Gen 0 eval_ctr 14850 config_num 98: entrances e1:147.45879,247.45879:3 e2:352.77777,452.77777:1 e3:486.4567,586.45667:3 e4:191.1649,291.16492:0, meanEMD 3.4442
INFO: Gen 0 eval_ctr 15000 config_num 99: entrances e1:230.65222,330.65222:1 e2:84.73061,184.73062:1 e3:434.82178,534.8218:3 e4:295.58966,395.58966:2, meanEMD 3.6238
INFO: Gen 1 eval_ctr 15150 config_num 0: entrances e1:18.521065,118.521065:0 e2:0.8886026,100.8886:1 e3:189.72334,289.72333:2 e4:158.33774,258.33774:1, meanEMD 4.0949
INFO: Gen 1 eval_ctr 15300 config_num 1: entrances e1:210.58334,310.58334:2 e2:289.63516,389.63516:1 e3:222.81837,322.81836:2 e4:127.26038,227.26038:0, meanEMD 4.0161
INFO: Gen 1 eval_ctr 15450 config_num 2: entrances e1:440.48434,540.4844:1 e2:84.73061,184.73062:1 e3:434.82178,534.8218:3 e4:422.27094,522.27094:1, meanEMD 3.8291
INFO: Gen 1 eval_ctr 15600 config_num 3: entrances e1:254.0773,354.0773:0 e2:209.06541,309.06543:0 e3:271.51566,371.51566:0 e4:159.02625,259.02625:2, meanEMD 4.2298
INFO: Gen 1 eval_ctr 15750 config_num 4: entrances e1:155.62148,255.62148:3 e2:298.74292,398.74292:1 e3:335.5519,435.5519:3 e4:1.8115336,101.81153:2, meanEMD 3.5906
INFO: Gen 1 eval_ctr 15900 config_num 5: entrances e1:362.9676,462.9676:3 e2:209.06541,309.06543:0 e3:320.13083,420.13083:0 e4:47.559975,147.55997:2, meanEMD 3.6026
INFO: Gen 1 eval_ctr 16050 config_num 6: entrances e1:211.49312,311.4931:0 e2:453.34305,553.343:3 e3:133.0357,233.0357:2 e4:332.52408,432.52408:0, meanEMD 3.8976
INFO: Gen 1 eval_ctr 16200 config_num 7: entrances e1:211.49312,311.4931:0 e2:453.34305,553.343:3 e3:133.0357,233.0357:2 e4:332.52408,432.52408:0, meanEMD 3.8686
INFO: Gen 1 eval_ctr 16350 config_num 8: entrances e1:245.05785,345.05786:3 e2:90.976425,190.97643:2 e3:228.4277,328.4277:2 e4:153.57784,253.57784:3, meanEMD 3.9163
INFO: Gen 1 eval_ctr 16500 config_num 9: entrances e1:245.05785,345.05786:3 e2:90.976425,190.97643:2 e3:77.41816,177.41815:2 e4:287.41568,387.41568:3, meanEMD 4.1291
INFO: Gen 1 eval_ctr 16650 config_num 10: entrances e1:210.58334,310.58334:2 e2:223.10422,323.10422:0 e3:222.81837,322.81836:0 e4:127.26038,227.26038:0, meanEMD 3.9832
INFO: Gen 1 eval_ctr 16800 config_num 11: entrances e1:159.45584,259.45584:0 e2:170.57664,270.57666:3 e3:39.025425,139.02542:1 e4:13.878297,113.878296:0, meanEMD 3.2920
INFO: Gen 1 eval_ctr 16950 config_num 12: entrances e1:211.49312,311.4931:0 e2:453.34305,553.343:3 e3:133.0357,233.0357:2 e4:332.52408,432.52408:0, meanEMD 3.8700
INFO: Gen 1 eval_ctr 17100 config_num 13: entrances e1:248.17206,348.17206:1 e2:204.75468,304.7547:0 e3:271.03107,371.03107:3 e4:89.94253,189.94254:0, meanEMD 3.0845
INFO: Gen 1 eval_ctr 17250 config_num 14: entrances e1:476.4326,576.4326:1 e2:382.00668,482.00668:3 e3:182.08736,282.08734:3 e4:58.862328,158.86234:1, meanEMD 3.4504
INFO: Gen 1 eval_ctr 17400 config_num 15: entrances e1:104.56578,204.56578:1 e2:23.63621,123.63621:3 e3:70.86252,170.86252:3 e4:219.15538,319.1554:2, meanEMD 3.6491
INFO: Gen 1 eval_ctr 17550 config_num 16: entrances e1:26.458664,126.458664:1 e2:173.54053,273.54053:1 e3:255.3821,355.38208:3 e4:471.13196,571.13196:1, meanEMD 3.2921
